"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R35","SMD_0603_RESC1608X55N","24mm","48.4mm","24mm","48.4mm","23.2mm","48.4mm","T","360.00","47"
"R34","SMD_0603_RESC1608X55N","23.2mm","50.8mm","23.2mm","50.8mm","23.2mm","50mm","T","90.00","47"
"R33","SMD_0603_RESC1608X55N","23.9566mm","53.6mm","23.9566mm","53.6mm","24.7567mm","53.6mm","T","180.00","0"
"R31","SMD_0603_RESC1608X55N","34.1mm","51.9mm","34.1mm","51.9mm","34.9mm","51.9mm","T","180.00","0"
"R21","SMD_1206_RESC3216X180N","4.1mm","81.2mm","4.1mm","81.2mm","4.1mm","79.7mm","T","90.00","100"
"R18","SMD_0603_RESC1608X55N","19.8915mm","67.25mm","19.8915mm","67.25mm","19.8915mm","68.05mm","T","270.00","10k"
"R16","SMD_0603_RESC1608X55N","34.55mm","71.85mm","34.55mm","71.85mm","33.75mm","71.85mm","T","360.00","10k"
"C1","SMD_1210_CAPC3225X279N","1mm","-24.75mm","1mm","-24.75mm","1mm","-26.25mm","T","90.00","220uF"
"C25_4","SMD_0805_CAPC2012X145N","-21.9287mm","26.1481mm","-21.9287mm","26.1481mm","-21.0287mm","26.1481mm","T","180.00","22uF/6.3V"
"C24_4","SMD_0805_CAPC2012X145N","-21.9288mm","24.1484mm","-21.9288mm","24.1484mm","-21.0287mm","24.1484mm","T","180.00","22uF/6.3V"
"C9-1S","SMD_0603_CAPC1608X80N","21.7mm","25.75mm","21.7mm","25.75mm","22.5mm","25.75mm","T","180.00","470nF"
"C8-1S","SMD_0603_CAPC1608X80N","21.7mm","29.25mm","21.7mm","29.25mm","22.5mm","29.25mm","T","180.00","470nF"
"C7-1S","SMD_0603_CAPC1608X80N","21.7mm","30.75mm","21.7mm","30.75mm","22.5mm","30.75mm","T","180.00","470nF"
"C6-1S","SMD_0603_CAPC1608X80N","21.7mm","34.25mm","21.7mm","34.25mm","22.5mm","34.25mm","T","180.00","470nF"
"C5-1S","SMD_0603_CAPC1608X80N","21.7mm","35.75mm","21.7mm","35.75mm","22.5mm","35.75mm","T","180.00","470nF"
"C10-1S","SMD_0603_CAPC1608X80N","21.7mm","24.25mm","21.7mm","24.25mm","22.5mm","24.25mm","T","180.00","470nF"
"C44","SMD_0603_CAPC1608X80N","42.5mm","61mm","42.5mm","61mm","42.5mm","60.2mm","T","90.00","1nF"
"C43","SMD_0603_CAPC1608X80N","44mm","61mm","44mm","61mm","44mm","60.2mm","T","90.00","1nF"
"R14","SMD_0603_RESC1608X55N","42.5mm","57.75mm","42.5mm","57.75mm","42.5mm","58.55mm","T","270.00","10k"
"R11","SMD_0603_RESC1608X55N","44mm","57.75mm","44mm","57.75mm","44mm","58.55mm","T","270.00","10k"
"C23_0","SMD_1210_CAPC3225X279N","1.0001mm","55.9998mm","1.0001mm","55.9998mm","1.0001mm","57.4998mm","T","270.00","220uF"
"C22_0","SMD_1210_CAPC3225X279N","16.5999mm","50.9mm","16.5999mm","50.9mm","15.0999mm","50.9mm","T","360.00","220uF"
"C27_0","SMD_1210_CAPC3225X279N","1mm","46.4999mm","1mm","46.4999mm","1mm","47.9999mm","T","270.00","220uF"
"C28_0","SMD_1210_CAPC3225X279N","5mm","46.4999mm","5mm","46.4999mm","5mm","47.9999mm","T","270.00","220uF"
"C24_0","SMD_1210_CAPC3225X279N","5mm","55.9998mm","5mm","55.9998mm","5mm","57.4998mm","T","270.00","220uF"
"C21_0","SMD_1210_CAPC3225X279N","0.9752mm","67mm","0.9752mm","67mm","0.9752mm","65.5mm","T","90.00","220uF"
"C26_0","SMD_1210_CAPC3225X279N","5mm","51.2001mm","5mm","51.2001mm","5mm","49.7001mm","T","90.00","220uF"
"C25_0","SMD_1210_CAPC3225X279N","0.9999mm","51.2001mm","0.9999mm","51.2001mm","0.9999mm","49.7001mm","T","90.00","220uF"
"R10","SMD_0603_RESC1608X55N","20.5mm","61.5mm","20.5mm","61.5mm","21.3mm","61.5mm","T","180.00","10k"
"R8","SMD_0603_RESC1608X55N","20.5mm","60mm","20.5mm","60mm","21.3mm","60mm","T","180.00","10k"
"R7","SMD_0603_RESC1608X55N","20.5mm","58.5mm","20.5mm","58.5mm","21.3mm","58.5mm","T","180.00","10k"
"D16","SMD_SOT95P280X145-6N-W","33.0001mm","75.0098mm","33.0001mm","75.0098mm","31.7001mm","75.9598mm","T","360.00","SMS05T1G"
"R2","SMD_0603_RESC1608X55N","35.8673mm","74.25mm","35.8673mm","74.25mm","35.8673mm","73.45mm","T","90.00","0"
